BD,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
AID1284Morered,0.6968830662320844,0.7042988559910768,0.7048846270955915,0.7004500690000846,0.6902901058326705,0.5921650937548193,0.6259852916908739,0.6018674086050388
AID1608Morered,0.7183426778744959,0.796599161905417,0.7802402202533638,0.7941128212563036,0.7134683157578161,0.7553801483585233,0.6427287632872074,0.727120232416629
AID1608red,0.7367069555608678,0.7994992767157633,0.7790363105518348,0.7991056195631195,0.7381934855899035,0.74723544587062,0.6635468055721988,0.6333574285535649
AID362red,0.7728518884126176,0.7967621002907965,0.7825156506777619,0.7926659299092697,0.7476672123567296,0.7716430154241948,0.7025655163445659,0.6963165813874675
AID439Morered,0.7021591578816306,0.7360174284714727,0.7071259676869788,0.7260009051522047,0.7118160606865327,0.7448958136129732,0.6518663910861646,0.5796999280068167
AID644Morered,0.6724021122033585,0.6773462098402254,0.6766252367688681,0.6846622120229965,0.6584536782661832,0.6573552500429583,0.5867469424180265,0.4851424615182622
AID721morered,0.6592816866343832,0.6525111808652901,0.6478261140040692,0.6469171821667745,0.6414162785016286,0.633274753059877,0.600875294220526,0.488314965900006
CastMetal1,0.7678955413608307,0.771887883343718,0.7700726183951729,0.7777487397012298,0.7656206767395719,0.7159362322652734,0.6832685495154456,0.696105357861223
CostaMadre1,0.7668790281985158,0.7729941089460713,0.7701930479182961,0.7812329863368528,0.7662300678619257,0.6990313765864382,0.6792885840229658,0.6522047967293623
KnuggetChase3,0.744815206666712,0.7566634215947279,0.7568133724040466,0.7580401349926854,0.750025890478441,0.6430296684065459,0.6814668010720173,0.6290660011341304
KungChi3,0.7593942134943531,0.7685348685941986,0.7677991052190175,0.7673469760471539,0.761758724380518,0.658299949812631,0.6965490738890876,0.6402952144815893
MeanWhile1,0.7724900280324823,0.7798595219783823,0.7750555010685447,0.7792555120727112,0.7611133228592646,0.6934335377825378,0.7077430127287692,0.6619622462862929
MegaWatt1,0.7714488252883497,0.7798595219783823,0.7750555010685447,0.782781917579643,0.7611133228592646,0.6837688394650586,0.7077430127287692,0.6619622462862929
MindCave2,0.7263240669102431,0.7362605621665765,0.7299009739137136,0.7321017178095185,0.7154865085246334,0.6193530980936559,0.6607209595767496,0.6171589601724381
Nomao,0.7772039735051477,0.7944803598028416,0.7820582806155616,0.7938454923036469,0.7738241397546325,0.7811451014162123,0.6777747840572166,0.7618237295668695
SPECTF,0.7237321001024835,0.7445715327322737,0.7449320357013854,0.7471053606066475,0.7262873863924021,0.651850707069704,0.6547038962305047,0.5551344516800736
SPECT,0.7338349386971986,0.7373957467233211,0.7237052667168498,0.7314742962291141,0.7404200289393045,0.6091611159081747,0.6649396233986942,0.5880029346070266
ads,0.7578234104206578,0.8232005427452863,0.7843474515411712,0.8209964714668706,0.7074071561952012,0.776749808433639,0.6670055321074407,0.6319129300674101
agaricus-lepiota,0.7904390042252609,0.7936767076119383,0.7969601853938239,0.7981454858304952,0.7804761668126602,0.7113152359347183,0.7061838839831552,0.7430384137013175
amazon_commerce,0.49612530279500644,0.3870679478630029,0.5197313593260382,0.38667791470342255,0.45745171766491105,0.613778201117138,0.3424041950452047,0.5261285688096778
annealing,0.7669704347431712,0.8068093208109574,0.7913806389855577,0.8076711997349246,0.7605762802472918,0.6677290032454911,0.7218240349133016,0.6812165691735095
ar1,0.7885723887907103,0.8032035444980187,0.7961767072235117,0.8026790118484521,0.7717718055026052,0.722747676162149,0.740315653661246,0.6393545787012777
ar4,0.7599798817630328,0.7589600794353847,0.755058455699525,0.7580988734968805,0.7528005085462719,0.6792014106017437,0.6802919395772556,0.6253041889950621
ar6,0.7617482225390549,0.7665433063929401,0.7716803880467725,0.7693706777672867,0.0,0.6950081452535455,0.7021356730947854,0.6496432652252289
arrhythmia,0.6517677646289609,0.6524233441003671,0.6559937831073421,0.6576712981970673,0.6521502570059838,0.6171756664977369,0.5539217950806385,0.5537310853722395
audiology,0.7106110131588427,0.691149213193941,0.6978143488384518,0.6895749286421615,0.6877249394546483,0.5867661934938374,0.6297696821247234,0.6900736357498768
australian,0.7745670678037182,0.785608270799198,0.7704072650269879,0.7850944683266584,0.7708216517976982,0.7385994443405558,0.6806437927939999,0.6849795224155163
autoPrice,0.79141767007642,0.8044112491135035,0.7973014568902347,0.7853442244086529,0.7915428642377608,0.6913294991530311,0.7455965457745173,0.6970782992349831
autoUniv-au6-400,0.63790356220616,0.6866818245953409,0.683427236987671,0.6792394200451014,0.6380580371633092,0.5511638109764995,0.5754715152710741,0.6030998493131461
autoUniv-au7-500,0.6821538605252208,0.7007523786880847,0.6728930156987449,0.7036677363825333,0.6811379563507212,0.5837883309368562,0.5984218734737897,0.6934614074586036
badges2,0.8198252071574255,0.8327403525757691,0.812653198309172,0.8326799018570672,0.817379061835152,0.7686503647236258,0.698533587215601,0.8040805335431334
bands,0.7293167013816279,0.7411980571486773,0.7469913205801617,0.7522198673977085,0.7304132345679792,0.6485773729437441,0.6922197166161324,0.6376449099231996
bank,0.7214428779082429,0.7483230827248146,0.7491582490015978,0.7517264722552837,0.7292002417096022,0.7137273225039598,0.6565121795300963,0.6394567414941171
