BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,"0,92145","0,94101","0,92576","0,94310","0,88163","0,91287","0,95051","0,97608"
,mq2,"0,85478","0,83523","0,86440","0,81891","0,75950","0,89672","0,97581","0,96270"
1,mq3,"0,95092","0,94233","0,95814","0,94106","0,82946","0,95436","0,98738","0,95917"
,mq4,"0,32506","0,77256","0,63600","0,77580","0,32290","0,52450",0,0
,mq5,"0,73690","0,62488","0,53744","0,62611","0,74355","0,59530","0,42133","0,26161"
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,"0,96560","0,93029","0,98108","0,92164","0,96328","0,93831","0,99592","0,99866"
,mq2,"0,97129","0,93264","0,96937","0,93108","0,96401","0,94571","0,99881","0,99569"
2,mq3,"0,98100","0,98114","0,98905","0,98098","0,93063","0,98518","0,99836","0,98930"
,mq4,"0,29301","0,45099","0,30756","0,45169","0,29436","0,00235","0,04564","0,20442"
,mq5,"0,74129","0,67332","0,73774","0,70534","0,75010","0,68502","0,49219","0,52712"
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,"0,77151","0,77901","0,79519","0,78848","0,78848","0,78769","0,79755","0,90529"
,mq2,"0,79496","0,73884","0,75604","0,66703","0,76089","0,88311","0,87464","0,81778"
3,mq3,"0,89222","0,87957","0,88050","0,81358","0,87208","0,83715","0,90702","0,86264"
,mq4,"0,35819","0,68911","0,63843","0,73974","0,34367",0,"0,00120","0,08966"
,mq5,"0,66754","0,43497","0,45428","0,49342","0,68633","0,45288","0,54951","0,33397"
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,"0,89476","0,90181","0,89752","0,89877","0,90001","0,89960","0,90250","0,94731"
,mq2,"0,73889","0,70876","0,72546","0,71080","0,71317","0,84473","0,86508","0,80533"
4,mq3,"0,88143","0,87857","0,86644","0,88391","0,86603","0,86149","0,91175","0,90203"
,mq4,"0,32970","0,67371","0,62293","0,67169","0,32253","0,53540",0,"0,49967"
,mq5,"0,74693","0,82013","0,78884","0,80539","0,76559","0,63568","0,53430","0,48126"
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,"0,90043","0,90319","0,90126","0,90154","0,89628","0,90527","0,90015","0,94883"
,mq2,"0,79148","0,76849","0,78190","0,76477","0,77853","0,88006","0,92228","0,90528"
5,mq3,"0,91664","0,90822","0,93374","0,91119","0,90264","0,90598","0,93802","0,92518"
,mq4,"0,30927","0,61412","0,53450","0,61800","0,29657","0,38263","0,00289",0
,mq5,"0,76572","0,80347","0,74379","0,80004","0,81695","0,66224","0,55439","0,38750"
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,"0,97810","0,97833","0,97663","0,97723","0,97787","0,97953","0,98160","0,98975"
,mq2,"0,86650","0,84418","0,86690","0,83898","0,83358","0,92595","0,98787","0,96595"
6,mq3,"0,95293","0,97089","0,97294","0,96783","0,87263","0,95442","0,98359","0,98402"
,mq4,"0,34249","0,58561","0,49145","0,58746","0,33135","0,40597",0,"0,02182"
,mq5,"0,72424","0,60480","0,60466","0,59183","0,72292","0,59234","0,55976","0,52004"
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,"0,77226","0,74741","0,75569","0,74120","0,75983","0,73499","0,77847","0,97930"
