dataset_name,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
AID1284Morered,4,7,6,8,2,4,1,4
AID1608Morered,4,"5,5",8,"5,5",3,7,1,2
AID1608red,3,6,"4,5",8,7,"4,5",2,1
AID362red,"3,5",5,6,8,7,"3,5",1,2
AID439Morered,3,6,7,8,2,"4,5",1,"4,5"
AID644Morered,2,7,6,8,3,5,1,4
AID721morered,1,6,8,7,3,4,2,5
CastMetal1,"3,5",8,5,"6,5",2,"6,5",1,"3,5"
CostaMadre1,2,8,7,6,1,5,3,4
KnuggetChase3,"4,5",8,3,6,2,7,1,"4,5"
KungChi3,3,7,4,8,1,6,2,5
MeanWhile1,2,"5,5",4,8,"5,5",7,1,3
MegaWatt1,2,8,5,5,5,7,1,3
MindCave2,2,"5,5",3,8,4,"5,5",1,7
Nomao,3,"7,5",6,"7,5",4,5,"1,5","1,5"
SPECTF,2,7,"5,5",8,3,"5,5",1,4
SPECT,3,5,7,8,1,6,2,4
ads,3,6,"4,5","7,5","7,5","4,5",1,2
agaricus-lepiota,"3,5",7,"3,5",8,6,5,1,2
amazon_commerce,2,6,7,8,5,4,1,3
annealing,"4,5","4,5","2,5",6,7,8,1,"2,5"
ar1,3,4,2,6,7,8,1,5
ar4,1,3,5,7,4,8,2,6
ar6,1,"4,5",3,7,8,6,2,"4,5"
arrhythmia,3,7,6,8,2,5,1,4
audiology,3,7,5,8,4,6,1,2
australian,5,4,6,"2,5",7,8,1,"2,5"
autoPrice,2,6,5,8,3,7,1,4
autoUniv-au6-400,"4,5",6,2,8,"4,5",7,1,3
autoUniv-au7-500,"3,5",5,"3,5",6,2,"7,5",1,"7,5"
badges2,2,"6,5","6,5",5,3,8,1,4
bands,2,8,"4,5",7,3,6,1,"4,5"
bank,4,7,5,6,2,8,1,3
base_1_10_10,5,8,4,7,3,6,1,2
base_1_2_10,6,8,4,7,3,5,1,2
base_1_3_10,"4,5",7,"4,5",8,3,6,1,2
base_1_4_10,3,7,4,8,5,6,1,2
base_1_5_10,3,8,5,7,4,6,1,2
base_1_6_10,"4,5",7,"4,5",8,3,6,1,2
base_1_7_10,5,7,4,8,2,6,1,3
base_1_8_10,5,8,4,7,3,6,1,2
base_1_9_10,3,8,5,7,4,6,1,2
base_2_10_10,4,8,5,7,3,6,1,2
base_2_2_10,4,6,"2,5",8,5,7,1,"2,5"
base_2_3_10,5,8,4,6,2,7,1,3
base_2_4_10,4,7,3,"5,5",8,"5,5",1,2
