DB,MQ,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,6.0,4.0,5.0,3.0,8.0,7.0,2.0,1.0
,mq2,5.0,6.0,4.0,7.0,8.0,3.0,1.0,2.0
1,mq3,5.0,6.0,3.0,7.0,8.0,4.0,1.0,2.0
,mq4,4.0,7.0,6.0,8.0,3.0,5.0,1.5,1.5
,mq5,2.0,4.0,6.0,3.0,1.0,5.0,7.0,8.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,4.0,7.0,3.0,8.0,5.0,6.0,2.0,1.0
,mq2,3.0,7.0,4.0,8.0,5.0,6.0,1.0,2.0
2,mq3,6.0,5.0,3.0,7.0,8.0,4.0,1.0,2.0
,mq4,4.0,7.0,6.0,8.0,5.0,1.0,2.0,3.0
,mq5,2.0,6.0,3.0,4.0,1.0,5.0,8.0,7.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,8.0,7.0,3.0,4.5,4.5,6.0,2.0,1.0
,mq2,4.0,7.0,6.0,8.0,5.0,1.0,2.0,3.0
3,mq3,2.0,4.0,3.0,8.0,5.0,7.0,1.0,6.0
,mq4,5.0,7.0,6.0,8.0,4.0,1.0,2.0,3.0
,mq5,2.0,7.0,5.0,4.0,1.0,6.0,3.0,8.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,8.0,3.0,7.0,6.0,4.0,5.0,2.0,1.0
,mq2,4.0,8.0,5.0,7.0,6.0,2.0,1.0,3.0
4,mq3,4.0,5.0,6.0,3.0,7.0,8.0,1.0,2.0
,mq4,3.0,8.0,6.0,7.0,2.0,5.0,1.0,4.0
,mq5,5.0,1.0,3.0,2.0,4.0,6.0,7.0,8.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,6.0,3.0,5.0,4.0,8.0,2.0,7.0,1.0
,mq2,4.0,7.0,5.0,8.0,6.0,3.0,1.0,2.0
5,mq3,4.0,6.0,2.0,5.0,8.0,7.0,1.0,3.0
,mq4,4.0,7.0,6.0,8.0,3.0,5.0,2.0,1.0
,mq5,4.0,2.0,5.0,3.0,1.0,6.0,7.0,8.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,5.0,4.0,8.0,7.0,6.0,3.0,2.0,1.0
,mq2,5.0,6.0,4.0,7.0,8.0,3.0,1.0,2.0
6,mq3,7.0,4.0,3.0,5.0,8.0,6.0,2.0,1.0
,mq4,4.0,7.0,6.0,8.0,3.0,5.0,1.0,2.0
,mq5,1.0,3.0,4.0,6.0,2.0,5.0,7.0,8.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,3.0,6.0,5.0,7.0,4.0,8.0,2.0,1.0
,mq2,3.0,7.0,5.0,8.0,2.0,4.0,1.0,6.0
7,mq3,3.0,5.0,4.0,6.0,2.0,7.0,1.0,8.0
,mq4,4.0,6.0,7.0,8.0,3.0,5.0,1.0,2.0
,mq5,4.0,3.0,7.0,6.0,2.0,1.0,5.0,8.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,6.0,2.0,4.0,5.0,8.0,7.0,3.0,1.0
,mq2,3.0,8.0,6.0,7.0,4.0,2.0,1.0,5.0
8,mq3,2.0,7.0,4.0,5.0,3.0,6.0,1.0,8.0
,mq4,4.0,7.0,6.0,8.0,3.0,5.0,2.0,1.0
,mq5,1.0,4.0,6.0,7.0,2.0,5.0,3.0,8.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,3.0,5.0,7.0,4.0,6.0,2.0,8.0,1.0
,mq2,3.0,6.0,8.0,7.0,4.0,2.0,1.0,5.0
9,mq3,2.0,5.0,7.0,4.0,3.0,6.0,1.0,8.0
,mq4,4.0,6.0,7.0,8.0,3.0,5.0,2.0,1.0
,mq5,1.0,4.0,5.0,7.0,2.0,6.0,3.0,8.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,3.5,5.0,6.0,7.0,8.0,3.5,2.0,1.0
,mq2,4.0,6.0,7.0,5.0,8.0,3.0,2.0,1.0
10,mq3,2.0,7.0,5.0,8.0,4.0,6.0,1.0,3.0
,mq4,3.0,5.0,8.0,6.0,2.0,7.0,1.0,4.0
,mq5,2.0,5.0,4.0,6.0,3.0,1.0,8.0,7.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,6.0,4.0,3.0,5.0,7.0,8.0,2.0,1.0
,mq2,6.0,7.0,3.0,4.0,5.0,8.0,1.0,2.0
11,mq3,6.0,3.0,2.0,4.0,8.0,7.0,1.0,5.0
,mq4,4.0,7.0,6.0,8.0,5.0,1.0,2.0,3.0
,mq5,2.0,3.0,5.0,4.0,1.0,7.0,6.0,8.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,5.5,2.0,5.5,3.5,7.0,8.0,3.5,1.0
,mq2,3.0,4.0,2.0,6.0,7.0,8.0,1.0,5.0
12,mq3,5.0,3.0,1.0,4.0,7.0,8.0,2.0,6.0
,mq4,4.0,7.0,6.0,8.0,5.0,3.0,1.5,1.5
,mq5,1.0,3.0,2.0,4.0,5.0,7.0,6.0,8.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,5.0,4.0,8.0,3.0,6.5,6.5,2.0,1.0
,mq2,2.0,4.0,5.0,8.0,3.0,7.0,1.0,6.0
13,mq3,1.0,3.0,2.0,4.0,6.0,7.0,5.0,8.0
,mq4,4.0,7.0,6.0,8.0,5.0,3.0,1.0,2.0
,mq5,1.0,4.0,3.0,5.0,2.0,6.0,7.0,8.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,2.0,3.0,5.0,7.0,8.0,6.0,4.0,1.0
,mq2,2.0,4.0,3.0,7.0,8.0,6.0,1.0,5.0
14,mq3,2.0,5.0,3.0,4.0,8.0,6.0,1.0,7.0
,mq4,4.0,7.0,6.0,8.0,2.0,5.0,2.0,2.0
,mq5,1.0,3.0,2.0,4.0,8.0,6.0,5.0,7.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,4.0,7.0,6.0,8.0,5.0,2.0,3.0,1.0
,mq2,5.0,7.0,6.0,8.0,4.0,2.0,1.0,3.0
15,mq3,5.0,2.0,3.0,6.0,4.0,7.0,1.0,8.0
,mq4,4.0,7.0,6.0,8.0,3.0,5.0,1.0,2.0
,mq5,2.0,5.0,4.0,3.0,1.0,7.0,6.0,8.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,2.0,7.0,6.0,8.0,3.0,5.0,4.0,1.0
,mq2,3.0,7.0,4.0,8.0,5.0,6.0,1.0,2.0
16,mq3,4.0,2.0,3.0,5.0,7.0,6.0,1.0,8.0
,mq4,5.0,7.0,6.0,8.0,4.0,3.0,2.0,1.0
,mq5,2.0,8.0,5.0,7.0,3.0,6.0,4.0,1.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,4.5,3.0,8.0,2.0,4.5,7.0,6.0,1.0
,mq2,8.0,3.0,4.0,5.0,6.0,7.0,1.0,2.0
17,mq3,5.0,4.0,3.0,2.0,8.0,6.0,1.0,7.0
,mq4,5.0,8.0,6.0,7.0,4.0,3.0,1.0,2.0
,mq5,1.0,5.0,3.0,4.0,2.0,6.0,7.0,8.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,3.5,3.5,6.0,7.0,5.0,8.0,2.0,1.0
,mq2,4.0,6.0,5.0,8.0,3.0,7.0,1.0,2.0
18,mq3,2.0,4.0,1.0,6.0,5.0,8.0,3.0,7.0
,mq4,5.0,7.0,6.0,8.0,4.0,3.0,1.5,1.5
,mq5,2.0,3.0,4.0,6.0,1.0,7.0,5.0,8.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,4.0,6.5,2.0,6.5,8.0,5.0,3.0,1.0
,mq2,5.0,6.0,3.0,8.0,4.0,7.0,1.0,2.0
19,mq3,8.0,3.0,2.0,4.0,7.0,5.0,1.0,6.0
,mq4,5.0,7.0,6.0,8.0,4.0,2.0,3.0,1.0
,mq5,2.0,3.0,4.0,5.0,1.0,7.0,6.0,8.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,5.0,4.0,3.0,8.0,7.0,6.0,2.0,1.0
,mq2,4.0,6.0,3.0,5.0,2.0,8.0,1.0,7.0
20,mq3,7.0,3.0,4.0,2.0,6.0,5.0,1.0,8.0
,mq4,5.0,7.0,6.0,8.0,4.0,2.0,1.0,3.0
,mq5,2.0,4.0,7.0,3.0,1.0,6.0,5.0,8.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,2.0,4.0,5.0,8.0,2.0,6.5,2.0,6.5
,mq2,2.0,6.0,5.0,3.0,4.0,8.0,1.0,7.0
21,mq3,2.0,5.0,6.0,3.0,4.0,8.0,1.0,7.0
,mq4,5.0,8.0,6.0,7.0,4.0,3.0,1.0,2.0
,mq5,3.0,5.0,6.0,4.0,2.0,7.0,8.0,1.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,3.0,8.0,4.0,5.0,6.0,7.0,2.0,1.0
,mq2,4.0,8.0,5.0,7.0,3.0,6.0,1.0,2.0
22,mq3,3.0,7.0,2.0,6.0,4.0,5.0,1.0,8.0
,mq4,5.0,7.0,6.0,8.0,4.0,2.0,3.0,1.0
,mq5,2.0,5.0,3.0,4.0,1.0,6.0,7.0,8.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,4.0,6.0,8.0,3.0,7.0,5.0,2.0,1.0
,mq2,5.0,8.0,4.0,6.0,3.0,7.0,1.0,2.0
23,mq3,6.0,3.0,4.0,2.0,5.0,8.0,1.0,7.0
,mq4,4.0,7.0,6.0,8.0,3.0,5.0,1.5,1.5
,mq5,2.0,4.0,3.0,7.0,1.0,6.0,5.0,8.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,6.0,8.0,4.0,7.0,5.0,3.0,2.0,1.0
,mq2,6.0,8.0,5.0,7.0,4.0,3.0,1.0,2.0
24,mq3,4.0,8.0,3.0,7.0,6.0,5.0,1.0,2.0
,mq4,4.0,8.0,5.0,7.0,3.0,6.0,1.0,2.0
,mq5,2.0,5.0,3.0,4.0,1.0,7.0,6.0,8.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,8.0,7.0,5.0,4.0,6.0,3.0,2.0,1.0
,mq2,5.0,7.0,6.0,8.0,4.0,3.0,1.0,2.0
25,mq3,7.0,4.0,3.0,5.0,6.0,8.0,1.0,2.0
,mq4,5.0,7.0,6.0,8.0,3.0,4.0,1.5,1.5
,mq5,2.0,5.0,3.0,4.0,1.0,7.0,6.0,8.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,3.0,8.0,5.0,7.0,4.0,6.0,2.0,1.0
,mq2,6.0,8.0,4.0,7.0,5.0,3.0,1.0,2.0
26,mq3,7.0,4.0,3.0,5.0,6.0,8.0,1.0,2.0
,mq4,4.0,7.0,6.0,8.0,3.0,5.0,2.0,1.0
,mq5,1.0,4.0,3.0,5.0,2.0,7.0,6.0,8.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,3.0,7.0,4.0,8.0,6.0,5.0,2.0,1.0
,mq2,4.0,7.0,6.0,8.0,5.0,3.0,1.0,2.0
27,mq3,4.0,7.0,2.0,6.0,5.0,8.0,1.0,3.0
,mq4,4.0,8.0,5.0,7.0,3.0,6.0,1.5,1.5
,mq5,1.0,4.0,3.0,5.0,2.0,7.0,6.0,8.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,4.0,8.0,6.0,7.0,5.0,3.0,2.0,1.0
,mq2,3.0,8.0,6.0,7.0,4.0,5.0,1.0,2.0
28,mq3,4.0,8.0,3.0,7.0,5.0,6.0,1.0,2.0
,mq4,4.0,8.0,5.0,7.0,3.0,6.0,1.0,2.0
,mq5,2.0,5.0,4.0,3.0,1.0,6.0,7.0,8.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,6.0,7.0,5.0,8.0,4.0,3.0,2.0,1.0
,mq2,5.0,7.0,6.0,8.0,4.0,3.0,1.0,2.0
29,mq3,5.0,6.0,3.0,7.0,4.0,8.0,1.0,2.0
,mq4,5.0,7.0,6.0,8.0,4.0,3.0,1.0,2.0
,mq5,2.0,4.0,3.0,5.0,1.0,7.0,6.0,8.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,6.0,7.0,5.0,8.0,4.0,3.0,2.0,1.0
,mq2,5.0,7.0,6.0,8.0,4.0,3.0,1.0,2.0
30,mq3,5.0,7.0,2.0,6.0,3.0,8.0,1.0,4.0
,mq4,5.0,7.0,6.0,8.0,3.0,4.0,1.0,2.0
,mq5,2.0,4.0,3.0,5.0,1.0,7.0,6.0,8.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,6.0,8.0,4.0,7.0,5.0,3.0,2.0,1.0
,mq2,6.0,8.0,5.0,7.0,4.0,3.0,1.0,2.0
31,mq3,5.0,8.0,3.0,7.0,4.0,6.0,1.0,2.0
,mq4,4.0,8.0,5.0,7.0,3.0,6.0,1.0,2.0
,mq5,2.0,5.0,3.0,4.0,1.0,6.0,7.0,8.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,4.0,8.0,5.0,7.0,6.0,3.0,2.0,1.0
,mq2,4.0,8.0,6.0,7.0,5.0,3.0,1.0,2.0
32,mq3,3.0,8.0,4.0,7.0,6.0,5.0,1.0,2.0
,mq4,4.0,8.0,5.0,7.0,3.0,6.0,1.0,2.0
,mq5,2.0,5.0,3.0,4.0,1.0,7.0,6.0,8.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,4.0,8.0,6.0,7.0,5.0,3.0,2.0,1.0
,mq2,4.0,8.0,6.0,7.0,5.0,3.0,1.0,2.0
33,mq3,5.0,7.0,3.0,6.0,4.0,8.0,1.0,2.0
,mq4,4.0,8.0,6.0,7.0,3.0,5.0,2.0,1.0
,mq5,2.0,5.0,3.0,4.0,1.0,7.0,6.0,8.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,6.0,7.0,3.0,5.0,4.0,8.0,2.0,1.0
,mq2,5.0,7.0,4.0,8.0,6.0,3.0,1.0,2.0
34,mq3,5.0,3.0,2.0,4.0,7.0,8.0,1.0,6.0
,mq4,5.0,7.0,6.0,8.0,4.0,3.0,2.0,1.0
,mq5,1.0,4.0,3.0,5.0,2.0,7.0,6.0,8.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,4.0,8.0,3.0,6.0,5.0,7.0,2.0,1.0
,mq2,5.0,8.0,6.0,7.0,3.0,4.0,1.0,2.0
35,mq3,5.0,7.0,2.0,3.0,4.0,8.0,1.0,6.0
,mq4,5.0,8.0,6.0,7.0,3.0,4.0,1.5,1.5
,mq5,2.0,6.0,3.0,4.0,1.0,7.0,5.0,8.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,5.0,6.0,7.0,4.0,8.0,3.0,2.0,1.0
,mq2,5.0,8.0,4.0,7.0,6.0,3.0,1.0,2.0
36,mq3,6.0,5.0,2.0,4.0,7.0,8.0,1.0,3.0
,mq4,4.0,7.0,6.0,8.0,3.0,5.0,1.5,1.5
,mq5,4.0,1.0,2.0,3.0,5.0,7.0,6.0,8.0
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,5.5,8.0,4.0,7.0,5.5,3.0,2.0,1.0
,mq2,4.0,8.0,6.0,7.0,5.0,3.0,1.0,2.0
